old_tag,old_tag_object_sha,old_commit_sha,date,commit_subject,docs_only,proposed_corrected_tag,rationale
v0.11.2,7a4d77b9cc62508d9efa5d3b40f47eb99f0251cb,7a4d77b9cc62508d9efa5d3b40f47eb99f0251cb,2026-05-31T20:34:38-07:00,feat: stabilize M7.5 API boundary contract,no,v0.11.2,Existing pre-1.0 SemVer tag preserved.
v0.12.0,5303395ef99e5258747cc33a397fb24c07701114,5303395ef99e5258747cc33a397fb24c07701114,2026-05-31T21:08:52-07:00,feat: implement M8 simulated model runtime adapter harness,no,v0.12.0,Existing pre-1.0 SemVer tag preserved.
v0.12.1,6261ac875518383d1ada0ff50547389e013d0290,6261ac875518383d1ada0ff50547389e013d0290,2026-05-31T21:31:11-07:00,fix: prevent API validation errors from echoing secrets,no,v0.12.1,Existing pre-1.0 SemVer tag preserved.
v0.12.2,e4b0cbbfce3f341ad8662603af38bc99547cbc33,e4b0cbbfce3f341ad8662603af38bc99547cbc33,2026-05-31T22:13:32-07:00,feat: implement M8.5 approval authority bridge,no,v0.12.2,Existing pre-1.0 SemVer tag preserved.
v0.13.0,2397910708377f6a4753326429cfc6315b632fec,2397910708377f6a4753326429cfc6315b632fec,2026-05-31T22:37:48-07:00,feat: implement M9 local loopback model runtime adapter,no,v0.13.0,Existing pre-1.0 SemVer tag preserved.
v0.13.1,2c78dec8c6b552651b88774a7d1707269601a4d1,2c78dec8c6b552651b88774a7d1707269601a4d1,2026-06-01T07:03:31-07:00,fix: enforce loopback-only runtime endpoint policy,no,v0.13.1,Existing pre-1.0 SemVer tag preserved.
v0.13.2,9b22833bf9b11ade2c9d58d4f5581eb2621dad27,9b22833bf9b11ade2c9d58d4f5581eb2621dad27,2026-06-01T07:43:37-07:00,fix: harden loopback policy validation and approval API,no,v0.13.2,Existing pre-1.0 SemVer tag preserved.
v0.14.0,373b0ae62c36fa1053c7bdcd081114e6619ab9d6,373b0ae62c36fa1053c7bdcd081114e6619ab9d6,2026-06-01T08:36:47-07:00,feat: add manual local loopback smoke harness,no,v0.14.0,Existing pre-1.0 SemVer tag preserved.
v0.14.1,621f7e5d51aff05ec3bafc14181050456709a944,621f7e5d51aff05ec3bafc14181050456709a944,2026-06-01T10:21:36-07:00,feat: add remote worker foundation and planned tailnet transport,no,v0.14.1,Existing pre-1.0 SemVer tag preserved.
v0.14.2,3e72ce85dee5dd120ccfcc5e2fee69c25189d3e5,3e72ce85dee5dd120ccfcc5e2fee69c25189d3e5,2026-06-01T10:51:57-07:00,fix: harden remote worker policy validation,no,v0.14.2,Existing pre-1.0 SemVer tag preserved.
v0.14.3,31dd155c86f45418ae2dc46f88adcb1e46646a24,31dd155c86f45418ae2dc46f88adcb1e46646a24,2026-06-01T12:39:43-07:00,chore: add open-source-first private mesh taxonomy,no,v0.14.3,Existing pre-1.0 SemVer tag preserved.
v0.14.4,fe044fc74ad273606d41c30aa435877d3ea5e058,fe044fc74ad273606d41c30aa435877d3ea5e058,2026-06-01T12:57:38-07:00,docs: add mobile companion and device capability broker roadmap,no,v0.14.4,Existing pre-1.0 SemVer tag preserved.
v0.14.5,ecd9c570ee897c2b640669a7dd9ffae76a89bb66,ecd9c570ee897c2b640669a7dd9ffae76a89bb66,2026-06-01T13:05:10-07:00,docs: synchronize canonical documentation integrity,no,v0.14.5,Existing pre-1.0 SemVer tag preserved.
v0.14.6,b3236863a627d38bc359ed473b562f4db5345f8d,b3236863a627d38bc359ed473b562f4db5345f8d,2026-06-01T13:27:52-07:00,docs: add Codex plugin governance inventory,no,v0.14.6,Existing pre-1.0 SemVer tag preserved.
v0.15.0,36afeb5b1dd7cebd05d7acad0d07588b06646ad5,36afeb5b1dd7cebd05d7acad0d07588b06646ad5,2026-06-01T14:12:07-07:00,feat: add runtime readiness gate and smoke report validation,no,v0.15.0,Existing pre-1.0 SemVer tag preserved.
v0.15.1,3055f5d7cb24236f5f07279a66364088843e3e08,3055f5d7cb24236f5f07279a66364088843e3e08,2026-06-01T14:29:43-07:00,docs: clarify runtime readiness smoke taxonomy,no,v0.15.1,Existing pre-1.0 SemVer tag preserved.
v0.16.0,4ad3f99eb88ee1b3e34d92083540ea0fec0e955c,4ad3f99eb88ee1b3e34d92083540ea0fec0e955c,2026-06-01T14:44:42-07:00,feat: add Control Center contract and read-only dashboard API,no,v0.16.0,Existing pre-1.0 SemVer tag preserved.
v0.17.0,71b3517ff49c1959e6a7f4e91135a6e299b30118,71b3517ff49c1959e6a7f4e91135a6e299b30118,2026-06-01T15:04:58-07:00,feat: add read-only Web Control Center shell,no,v0.17.0,Existing pre-1.0 SemVer tag preserved.
v0.17.1,03b00d7ce977e559ae809e5b115cc2cdf971f02b,03b00d7ce977e559ae809e5b115cc2cdf971f02b,2026-06-01T15:22:23-07:00,fix: harden Web Control Center frontend safety,no,v0.17.1,Existing pre-1.0 SemVer tag preserved.
v0.17.2,5ddaabf7d4da828e9d74c93e7e8f942a9bdba20b,5ddaabf7d4da828e9d74c93e7e8f942a9bdba20b,2026-06-01T15:39:15-07:00,chore: harden Control Center frontend verification,no,v0.17.2,Existing pre-1.0 SemVer tag preserved.
v0.17.3,bc9c4b93827f53868b13fdb496e79370b6eb1c68,bc9c4b93827f53868b13fdb496e79370b6eb1c68,2026-06-01T15:59:57-07:00,docs: clean up current release note labels,no,v0.17.3,Existing pre-1.0 SemVer tag preserved.
v0.17.4,eb4e40f91942abf73d9582529d2b0816695adf5e,eb4e40f91942abf73d9582529d2b0816695adf5e,2026-06-01T16:55:39-07:00,chore: polish read-only Web Control Center shell,no,v0.17.4,Existing pre-1.0 SemVer tag preserved.
v0.17.5,b17b38821026c28a621e86a7e881b9e4cf57583d,b17b38821026c28a621e86a7e881b9e4cf57583d,2026-06-01T17:52:33-07:00,docs: freeze roadmap milestone charters,no,v0.17.5,Existing pre-1.0 SemVer tag preserved.
v0.18.0,a71bd3190a139d2698a08ac9c43961e3ae4d33b3,a71bd3190a139d2698a08ac9c43961e3ae4d33b3,2026-06-01T18:46:09-07:00,feat: stabilize control center local backend connection,no,v0.18.0,Existing pre-1.0 SemVer tag preserved.
v0.18.1,35457a71f414574036d1e653d3627cd5d34cfd99,35457a71f414574036d1e653d3627cd5d34cfd99,2026-06-01T19:13:56-07:00,fix: harden Control Center local backend connection safety,no,v0.18.1,Existing pre-1.0 SemVer tag preserved.
v0.18.2,75108251e6900aaf62b6182e0d518fc6feef3271,75108251e6900aaf62b6182e0d518fc6feef3271,2026-06-01T19:42:16-07:00,docs: add open design governance foundation,no,v0.18.2,Existing pre-1.0 SemVer tag preserved.
v0.18.3,81744c71ac5772861da4ef8cd55cabce427d2f6b,81744c71ac5772861da4ef8cd55cabce427d2f6b,2026-06-01T20:02:43-07:00,docs: clarify OpenWebUI and CCC client strategy,no,v0.18.3,Existing pre-1.0 SemVer tag preserved.
v0.18.4,5f5572c4bb60d06ef554515033cf664f332ad830,5f5572c4bb60d06ef554515033cf664f332ad830,2026-06-01T20:23:03-07:00,docs: add post-M20 capability roadmap charters,no,v0.18.4,Existing pre-1.0 SemVer tag preserved.
v0.19.0,cbe978766fb5058fc58a6a5ae7526f160bbbb431,cbe978766fb5058fc58a6a5ae7526f160bbbb431,2026-06-01T21:33:44-07:00,feat: add read-only approval receipt event viewer UI,no,v0.19.0,Existing pre-1.0 SemVer tag preserved.
v0.19.1,6272d0e17b7f9e321eef10880edff0da63c27925,6272d0e17b7f9e321eef10880edff0da63c27925,2026-06-01T21:57:16-07:00,fix: harden approval receipt UI safety,no,v0.19.1,Existing pre-1.0 SemVer tag preserved.
v0.20.0,ab634c6be6f6802664ff0ed8567c0238e894925c,ab634c6be6f6802664ff0ed8567c0238e894925c,2026-06-01T22:21:10-07:00,feat: add read-only event timeline trace viewer,no,v0.20.0,Existing pre-1.0 SemVer tag preserved.
v0.20.1,2e163064134d6aa17935f0262d8ffc16d3581d40,2e163064134d6aa17935f0262d8ffc16d3581d40,2026-06-01T22:54:41-07:00,fix: harden event timeline trace redaction safety,no,v0.20.1,Existing pre-1.0 SemVer tag preserved.
v0.21.0,8706e08e268a8b8cac987fe85346ea5d14dcef08,8706e08e268a8b8cac987fe85346ea5d14dcef08,2026-06-01T23:19:32-07:00,feat: add read-only evidence file memory viewer,no,v0.21.0,Existing pre-1.0 SemVer tag preserved.
v0.21.1,65d588ed6dedc78f88aa85cb569967cddc7878ee,65d588ed6dedc78f88aa85cb569967cddc7878ee,2026-06-01T23:38:26-07:00,fix: harden evidence file memory viewer safety,no,v0.21.1,Existing pre-1.0 SemVer tag preserved.
v0.21.2,eb75c9789de47695b7a8b3c7a3001f7a849f96cc,eb75c9789de47695b7a8b3c7a3001f7a849f96cc,2026-06-01T23:56:31-07:00,chore: normalize developer verification commands,no,v0.21.2,Existing pre-1.0 SemVer tag preserved.
v0.22.0,bf7de208d917b62b2480b6efdbe50887b98f3382,7d7a9764a2854c28b0721d15134aed79eab56e7a,2026-06-02T00:26:04-07:00,feat: add local runtime manual smoke status UI,no,v0.22.0,Existing pre-1.0 SemVer tag preserved.
v0.22.1,6575663547b070257a7500ef7dcf56973cc77300,6575663547b070257a7500ef7dcf56973cc77300,2026-06-02T07:45:35-07:00,docs: clean up roadmap status labels after M18,no,v0.22.1,Existing pre-1.0 SemVer tag preserved.
v0.23.0,5d8fc45bd278d9c411248408cf600955d7e7e0ee,5d8fc45bd278d9c411248408cf600955d7e7e0ee,2026-06-02T08:55:34-07:00,feat: add mobile companion contract planning,no,v0.23.0,Existing pre-1.0 SemVer tag preserved.
v0.23.1,bbcad6847618ffe272d6808daea1357d4ea7fbb3,bbcad6847618ffe272d6808daea1357d4ea7fbb3,2026-06-02T09:40:59-07:00,fix: harden M19 mobile contract planning,no,v0.23.1,Existing pre-1.0 SemVer tag preserved.
v0.24.0,7cbc34c503c6d1c486aa08e5e96e3aab4afcadc7,7cbc34c503c6d1c486aa08e5e96e3aab4afcadc7,2026-06-02T10:47:07-07:00,feat: add device capability broker contract,no,v0.24.0,Existing pre-1.0 SemVer tag preserved.
v0.24.1,d622a4966a9e22189dcad061b74afdc7b6ae4af5,d622a4966a9e22189dcad061b74afdc7b6ae4af5,2026-06-02T11:28:24-07:00,fix: harden device capability broker contract safety,no,v0.24.1,Existing pre-1.0 SemVer tag preserved.
v0.25.0,bd6bdaa486529b7c584f5eae48abcff2f0214e26,bd6bdaa486529b7c584f5eae48abcff2f0214e26,2026-06-02T12:10:01-07:00,feat: add OpenWebUI bridge contract,no,v0.25.0,Existing pre-1.0 SemVer tag preserved.
v0.25.1,0777c181fce7bcd31c33a328e823d79fbe8bcbb9,0777c181fce7bcd31c33a328e823d79fbe8bcbb9,2026-06-02T13:12:27-07:00,fix: harden OpenWebUI bridge contract safety,no,v0.25.1,Existing pre-1.0 SemVer tag preserved.
v0.26.0,ac660a1fe4c80a07ffb01d3505322bb08493c55d,57c9f0b767179acf4862496e88423b654b034b1d,2026-06-02T13:44:02-07:00,feat: add local model runtime activation contract,no,v0.26.0,Existing pre-1.0 SemVer tag preserved.
v0.26.1,3ac1a00ecbd91eec4f49e3f9fe9e2b49f55ffd16,3ac1a00ecbd91eec4f49e3f9fe9e2b49f55ffd16,2026-06-02T15:03:16-07:00,fix: harden M22 verifier and metadata validation,no,v0.26.1,Existing pre-1.0 SemVer tag preserved.
v0.27.0,70c895b54b22af7b0e765f536bd12c8b743df845,70c895b54b22af7b0e765f536bd12c8b743df845,2026-06-02T15:30:11-07:00,feat: add first local llm call boundary,no,v0.27.0,Existing pre-1.0 SemVer tag preserved.
v0.27.1,8bd406ca05bcee60f68d95bc33294ad7394adc3a,8bd406ca05bcee60f68d95bc33294ad7394adc3a,2026-06-02T18:26:45-07:00,chore: harden m23 local model call safety,no,v0.27.1,Existing pre-1.0 SemVer tag preserved.
v0.28.0,eacf85f6a04613d7cdb993eda23eae3fdfdff99b,eacf85f6a04613d7cdb993eda23eae3fdfdff99b,2026-06-02T20:09:50-07:00,feat: add governed memory provider local store,no,v0.28.0,Existing pre-1.0 SemVer tag preserved.
v0.28.1,d20d00916dea993b47ddd4be8eab4aceaf3824d1,d20d00916dea993b47ddd4be8eab4aceaf3824d1,2026-06-02T21:03:23-07:00,fix: repair M24 memory contract exports,no,v0.28.1,Existing pre-1.0 SemVer tag preserved.
v0.28.2,967740b68b1f4894b43ba34a3599031eeac1c676,967740b68b1f4894b43ba34a3599031eeac1c676,2026-06-02T21:44:14-07:00,docs: remove duplicate M24 roadmap row,no,v0.28.2,Existing pre-1.0 SemVer tag preserved.
v0.29.0,783ac1eb6593f7282af1715830eb0d7a4f240b5e,783ac1eb6593f7282af1715830eb0d7a4f240b5e,2026-06-02T23:08:28-07:00,feat: add truth source evidence claim checker,no,v0.29.0,Existing pre-1.0 SemVer tag preserved.
v0.29.1,13d242d47a74b387a23185f6a22fc94e8a98d3ca,13d242d47a74b387a23185f6a22fc94e8a98d3ca,2026-06-02T23:46:19-07:00,fix: harden truth source ref validation,no,v0.29.1,Existing pre-1.0 SemVer tag preserved.
v0.29.2,83e71c45b04e27bcf8ee2d171d2c67d0d06f88b1,83e71c45b04e27bcf8ee2d171d2c67d0d06f88b1,2026-06-03T07:37:38-07:00,fix: harden local dev api authority boundaries,no,v0.29.2,Existing pre-1.0 SemVer tag preserved.
v0.29.3,9cc3394d1179d296e454898a9d1d1b196eb0353d,9cc3394d1179d296e454898a9d1d1b196eb0353d,2026-06-03T08:45:20-07:00,docs: organize active and historical documentation,no,v0.29.3,Existing pre-1.0 SemVer tag preserved.
v0.29.4,7ae813fb58e166a8cc33a26888e2d2539e9ec118,7ae813fb58e166a8cc33a26888e2d2539e9ec118,2026-06-03T09:41:39-07:00,docs: repair archive references and policy,no,v0.29.4,Existing pre-1.0 SemVer tag preserved.
v0.29.5,f0b8b77adf5017e26fefb9c8b0527bd2fc710009,f0b8b77adf5017e26fefb9c8b0527bd2fc710009,2026-06-03T10:04:31-07:00,docs: polish documentation organization baseline,no,v0.29.5,Existing pre-1.0 SemVer tag preserved.
v0.30.0,49656f88e667e50c874cf9db00a56b82f50be898,49656f88e667e50c874cf9db00a56b82f50be898,2026-06-03T11:04:20-07:00,feat: add grounded recall context pack contracts,no,v0.30.0,Existing pre-1.0 SemVer tag preserved.
v0.30.1,ec16b047f78d3e03bd88ee57cf18a5224a7c92f2,ec16b047f78d3e03bd88ee57cf18a5224a7c92f2,2026-06-03T12:08:47-07:00,fix: harden recall source identity validation,no,v0.30.1,Existing pre-1.0 SemVer tag preserved.
v0.31.0,95f854ee76d4b35c4ad63e63be6a93bbd5db37a3,95f854ee76d4b35c4ad63e63be6a93bbd5db37a3,2026-06-03T13:02:51-07:00,feat: add tool broker v2 intent contracts,no,v0.31.0,Existing pre-1.0 SemVer tag preserved.
v0.31.1,6d5ca78d76d228439588cdc99ac59fe5f75a6b90,6d5ca78d76d228439588cdc99ac59fe5f75a6b90,2026-06-03T14:54:15-07:00,docs: normalize README polish baseline,no,v0.31.1,Existing pre-1.0 SemVer tag preserved.
v0.32.0,d9ad407e20f992dfa93128c602948641bd0fcc7c,d9ad407e20f992dfa93128c602948641bd0fcc7c,2026-06-03T16:43:30-07:00,feat: add approval authority action policy contracts,no,v0.32.0,Existing pre-1.0 SemVer tag preserved.
v0.32.1,361432ed9d7bb19325f6daed0e02933afe7d38f8,361432ed9d7bb19325f6daed0e02933afe7d38f8,2026-06-03T17:13:12-07:00,fix: harden approval evaluator revalidation,no,v0.32.1,Existing pre-1.0 SemVer tag preserved.
v0.33.0,2d02e8d2f1197bad90fb7d214fa48e0abf34b848,2d02e8d2f1197bad90fb7d214fa48e0abf34b848,2026-06-03T17:49:20-07:00,feat: add agent task planning contracts,no,v0.33.0,Existing pre-1.0 SemVer tag preserved.
v0.33.1,58dd2f1d9090bf7f8bb5d754d30c143eff755dc8,58dd2f1d9090bf7f8bb5d754d30c143eff755dc8,2026-06-03T18:18:31-07:00,fix: harden agent task planning safety,no,v0.33.1,Existing pre-1.0 SemVer tag preserved.
v0.34.0,37ac00e26d258b8463f65aa7986a9ec88fe5a68f,37ac00e26d258b8463f65aa7986a9ec88fe5a68f,2026-06-03T18:46:12-07:00,feat: add multi-step execution framework,no,v0.34.0,Existing pre-1.0 SemVer tag preserved.
v0.34.1,c236f1c4fdea2787654949c6ef102155344ffb6e,c236f1c4fdea2787654949c6ef102155344ffb6e,2026-06-03T19:15:15-07:00,fix: harden execution framework safety,no,v0.34.1,Existing pre-1.0 SemVer tag preserved.
v0.35.0,1e73afb57556b8713745625e50edc60a2f892c56,1e73afb57556b8713745625e50edc60a2f892c56,2026-06-03T19:50:33-07:00,feat: add safe noop tool runtime adapter,no,v0.35.0,Existing pre-1.0 SemVer tag preserved.
v0.35.1,deff1f29f6ce821592b2774cc3a69ebdb52ff5ca,deff1f29f6ce821592b2774cc3a69ebdb52ff5ca,2026-06-03T20:15:45-07:00,fix: harden noop tool runtime safety,no,v0.35.1,Existing pre-1.0 SemVer tag preserved.
v0.36.0,3f72d579971cfd2ccdd32d021db1bed8c009a285,3f72d579971cfd2ccdd32d021db1bed8c009a285,2026-06-03T20:44:53-07:00,feat: add safe filesystem metadata tool,no,v0.36.0,Existing pre-1.0 SemVer tag preserved.
v0.36.1,c15786e49de670c0c8e9196867e07e9218a45fd9,c15786e49de670c0c8e9196867e07e9218a45fd9,2026-06-03T21:18:59-07:00,fix: harden filesystem metadata path safety,no,v0.36.1,Existing pre-1.0 SemVer tag preserved.
v0.37.0,c3b8a89209e6e73a373f6e15db61b78e85b1a941,c3b8a89209e6e73a373f6e15db61b78e85b1a941,2026-06-03T22:01:15-07:00,feat: add redacted file preview proposal tool,no,v0.37.0,Existing pre-1.0 SemVer tag preserved.
v0.37.1,5703d72e9db8744cacc1547645ea45efc7515438,5703d72e9db8744cacc1547645ea45efc7515438,2026-06-03T23:09:27-07:00,fix: harden redacted file preview safety,no,v0.37.1,Existing pre-1.0 SemVer tag preserved.
v0.37.2,de4e2b3f161f303e6ed5d6f12f68a3562a46f42f,de4e2b3f161f303e6ed5d6f12f68a3562a46f42f,2026-06-03T23:35:37-07:00,tools: add local developer launcher,no,v0.37.2,Existing pre-1.0 SemVer tag preserved.
v0.37.3,8122e32b317761350d738b9eac708a3e2002f338,8122e32b317761350d738b9eac708a3e2002f338,2026-06-04T07:31:46-07:00,docs: align M34 roadmap label,no,v0.37.3,Existing pre-1.0 SemVer tag preserved.
v0.37.4,76b2bdeb623e2431214a27cb75fdf5d104a0642c,76b2bdeb623e2431214a27cb75fdf5d104a0642c,2026-06-04T09:25:25-07:00,docs: supersede roadmap through M60,no,v0.37.4,Existing pre-1.0 SemVer tag preserved.
v0.38.0,5dbe334566acf113faa93395443b41c4ea6c6678,5dbe334566acf113faa93395443b41c4ea6c6678,2026-06-04T10:13:31-07:00,docs: add broader file capability review,no,v0.38.0,Existing pre-1.0 SemVer tag preserved.
v0.38.1,a55c41b29173abe906bc0b34c4df60a87e1de285,a55c41b29173abe906bc0b34c4df60a87e1de285,2026-06-04T10:31:22-07:00,docs: harden file capability review boundaries,no,v0.38.1,Existing pre-1.0 SemVer tag preserved.
v0.38.2,d57d2e69df2447e0a16d8548e279255044182b0b,d57d2e69df2447e0a16d8548e279255044182b0b,2026-06-04T11:41:09-07:00,docs: repair M34 active baseline labels,no,v0.38.2,Existing pre-1.0 SemVer tag preserved.
v0.39.0,49d5219ccf0a29ff671d86940d0c2ee24555f60b,49d5219ccf0a29ff671d86940d0c2ee24555f60b,2026-06-04T12:44:43-07:00,feat: add safe file review workflow contracts,no,v0.39.0,Existing pre-1.0 SemVer tag preserved.
v0.39.1,56402722ab6538cd47fd60a41b03e9a766185f12,56402722ab6538cd47fd60a41b03e9a766185f12,2026-06-04T13:48:32-07:00,fix: harden file review exact binding,no,v0.39.1,Existing pre-1.0 SemVer tag preserved.
v0.40.0,181b320fed67a69c171b636c5fe44df82e393a9e,181b320fed67a69c171b636c5fe44df82e393a9e,2026-06-04T15:26:43-07:00,feat: add review-only file review surface,no,v0.40.0,Existing pre-1.0 SemVer tag preserved.
v0.40.1,9dddb172d0b6c1446eb7a41ae80f68f7baa4f348,9dddb172d0b6c1446eb7a41ae80f68f7baa4f348,2026-06-04T16:06:13-07:00,fix: harden file review surface safety,no,v0.40.1,Existing pre-1.0 SemVer tag preserved.
v0.41.0,d5d3febb595db136f6f5ad17d1127a46b0cb4b8c,d5d3febb595db136f6f5ad17d1127a46b0cb4b8c,2026-06-04T16:46:09-07:00,feat: add review-only file approval capture,no,v0.41.0,Existing pre-1.0 SemVer tag preserved.
